,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Boisson 1,0.28399884094851313,1.8183932079082752,1.4182168996285274,-0.4592338021708155,0.36439525542429885,0.14038863107539956,-0.1312927750958388,0.14311903635157455,0.2823405268111346,2.171834144937926e-15
Boisson 2,1.7680441589838982,1.4077509078147743,-0.1604253944498209,0.8838649465381703,0.48312239179124444,-0.5730139422574143,-0.08498812108936396,0.3052309909950368,-0.16628700826220857,-2.0306329302817712e-16
Boisson 3,-1.8558658402000747,0.7222490254665144,-0.3540961046678229,1.253208046209825,0.29086371590873544,0.9040888186482369,0.013716794644370794,-0.007750201008187557,-0.08630493779822553,-1.1749426839692781e-15
Boisson 4,-3.3776187751803777,0.4080993024269095,-1.7354189746509923,0.37165761715256035,-0.08083708130602046,-0.47769161720273123,-0.17890727016385757,-0.20254778159206524,0.1332110302626976,5.579310281589924e-16
Boisson 5,1.9770012157547576,-0.5715755958660669,-0.0346168778021041,0.09778667562597383,0.7319849444248604,-0.13639033673373532,0.5645652601818247,-0.26464593891018684,0.04849335707557282,-4.910672238067754e-16
Boisson 6,3.518896551944797,0.08921869675141356,-1.0430284012995032,-1.2577788449174379,0.08515092281357248,0.2719518749710484,-0.3648574075511067,-0.18233311568304403,-0.07667623555929907,-1.9104654377834445e-15
Boisson 7,-2.8417394191895626,0.7248627526372993,1.8086989402070135,-0.8495264405018704,-0.22761802022948205,-0.189887293091815,0.009055168841247766,-0.20026981296440174,-0.19669372882685524,-1.8086402172319645e-15
Boisson 8,2.2555367338571584,0.3624248732014894,0.2288289811757331,0.7586343537767576,-1.550950453795452,0.002534344789956588,0.1273618018472051,-0.022380231345649034,0.04395463597230279,2.0243216501260432e-15
Boisson 9,-1.6829013408328628,-0.9446222748816013,-1.0496062684730478,-1.3556865353265626,-0.24998392231374128,0.11747477992750414,0.2949561668313305,0.3743799361914996,-0.012365680119735378,2.16040709580297e-15
Boisson 10,-0.04535212608624596,-4.0168008954590055,0.9214472003320111,0.5570739836133998,0.15387224728198232,-0.05945526012645482,-0.2496096184458107,0.05719711796542388,0.030328040444612486,1.7105937421595078e-16
