,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Frut,-0.9133868443952583,-0.30265726666844117,0.06028385646197278,-0.12558052208523707,0.1579188399607413,-0.08392430675281842,-0.01574298818312607,0.13422407857108673,0.06687934148639615,-0.0
Suc,-0.8843312581803178,-0.1988161715457906,-0.010152597809232618,-0.18403216578761364,0.3499558190361669,0.07390033669373199,-0.10489912474766278,-0.048094633874967575,-0.05667616103106611,0.0
Gt,0.9113091776078766,0.08865600818271363,-0.20638266920775297,-0.09725706763458225,0.28063299947327536,-0.17490287167429133,0.01104551535873644,-0.009549582424473657,-0.006622599132094793,-0.0
Amr,0.7356608086568894,-0.43202746692274363,-0.401457201036918,-0.14793043196619224,0.05863744912598243,0.28608398482061137,0.02132359292256913,0.057218231260047304,0.009650235749005802,-0.0
Piq,0.43226426089466136,0.7473598656306247,0.017959956989356426,0.4061506681234055,0.28147029733013923,0.07891717509525266,-0.026238979268392613,-0.015312984171258155,0.05425398053793007,0.0
Rug,0.8291115958205985,-3.37650294239721e-05,-0.11282255294152631,-0.5375257297118667,0.04157358080732457,-0.09218321839709714,0.008709366590811679,-0.01764729238915268,0.017254959024959816,0.0
Odr,0.13442463100178548,-0.9665991331511976,-0.0386677305556626,0.15443451061532737,-0.027622412148908884,-0.02776092463663549,-0.07005686209528217,-0.10786304107146925,0.06476771395254195,-0.0
Acd,0.33176758751942126,0.12325026641374681,0.8731710101240916,-0.31556733413056376,0.027432232945619917,0.10428221747504966,-0.001532530687952875,-0.022622558388026084,0.02424556299328012,-0.0
Parf,-0.9302915236704219,0.14753166339292897,-0.1895307008216971,-0.15774352190202945,0.09104891848896565,0.04005756620114062,0.1848170535962551,-0.08369421127526343,0.0305058282710242,-0.0
Suff,0.42295406438888883,-0.7375909729763069,0.365210492955129,0.30098075331103635,0.18444678035835133,-0.03228850842816215,0.12550502868698332,0.02854217195103475,-0.03836623002195352,0.0
