,Frut,Suc,Gt,Amr,Piq,Rug,Odr,Acd,Parf,Suff
Frut,0.9999999999999998,0.9308765999613684,-0.8023408973931916,-0.5535705331500725,-0.6311277279634656,-0.6836381601085546,0.1369659818769481,-0.2538780967307148,0.812361776195103,-0.14773770697626604
Suc,0.9308765999613684,1.0,-0.7185719583809418,-0.49724744535368304,-0.5010309670296279,-0.6264413855185599,0.04241888251885013,-0.2515058084481217,0.8420408125810607,-0.2366860115376102
Gt,-0.8023408973931916,-0.7185719583809418,1.0,0.6953976076015878,0.4816608040515297,0.8590772882701743,0.02669908838472223,0.15325118404465404,-0.7590623464690173,0.27418141952952985
Amr,-0.5535705331500725,-0.49724744535368304,0.6953976076015878,1.0,-0.03400279906492017,0.7101774430054164,0.4925639463266247,-0.08268896432860895,-0.632447991617695,0.44418706468816727
Piq,-0.6311277279634656,-0.5010309670296279,0.4816608040515297,-0.03400279906492017,1.0,0.1434321010790309,-0.6052230960403616,0.14069086974659564,-0.3324680777814325,-0.19605880375753784
Rug,-0.6836381601085546,-0.6264413855185599,0.8590772882701743,0.7101774430054164,0.1434321010790309,1.0,0.036657359417295005,0.33851199286746536,-0.6614403452313657,0.1582840861112536
Odr,0.1369659818769481,0.04241888251885013,0.02669908838472223,0.4925639463266247,-0.6052230960403616,0.036657359417295005,1.0,-0.15656877660733776,-0.29026181803545326,0.783615660438356
Acd,-0.2538780967307148,-0.2515058084481217,0.15325118404465404,-0.08268896432860895,0.14069086974659564,0.33851199286746536,-0.15656877660733776,0.9999999999999998,-0.39714653115570653,0.27325010842546493
Parf,0.812361776195103,0.8420408125810607,-0.7590623464690173,-0.632447991617695,-0.3324680777814325,-0.6614403452313657,-0.29026181803545326,-0.39714653115570653,1.0,-0.5838484266530095
Suff,-0.14773770697626604,-0.2366860115376102,0.27418141952952985,0.44418706468816727,-0.19605880375753784,0.1582840861112536,0.783615660438356,0.27325010842546493,-0.5838484266530095,1.0000000000000002
